lemma,part_of_speech,translation,relations
amiko-nagwaagan,inanimate noun,a beaver snare,
onji-,relative preverb,because; for a certain reason; from a certain place,
apishimon,inanimate noun,"something placed to lie on: a mattress, an air mattress, bedding placed on the floor","miidingwaam, ozhishim, zhigingwaami, zhigingwaam"
nibaaganaatig,inanimate noun,a bed frame,
nibewigamig,inanimate noun,a bedroom; a hotel,
aamoo,animate noun,"a bee, a wasp",
aamoo-wadiswan,inanimate noun,"a bee hive, a wasp nest",
bizhikiwi-wiiyaas,inanimate noun,beef,
biitewaaboo,inanimate noun,beer,
misko-jiis,inanimate noun,a beet,
neyaab,manner adverb,as before; back to previous place or condition,
jibwaa-,tense/mode preverb,before See also:dabwaa-,dabwaa-
noonde-,lexical preverb,before the usual time; need to,
giizhaa,temporal adverb,already; beforehand; in advance; ahead of time,
andodamaw,transitive animate verb,ask h/ for (it); beg h/ for (it) See also:n,"nandodamaw, nandodamaage, andodamaw, andodamaage"
nendodamaageshkid,animate participle,beggar,"andodamaageshki, nandodamaageshki"
maajii-,lexical preverb,begin; start; start off,maajise
wayeshkad,temporal adverb,at first; in the beginning,
izhiwebizi,animate intransitive verb,"s/he has certain things happen to h/; s/he behaves, fares a certain way Paired with:izhiwebad","izhiwebad, mino-izhiwebad"
inashke,discourse particle,look!,
nashke,discourse particle,look! See also:i;ashkepc interj,inashke
aya'aa,pausal pronoun,"I don't remember who; a being, a thing animate in gender Paired with:aya'ii;ayi'ii",aya'ii
debweyendamowin,inanimate noun,"belief, faith",
debwetaagozi,animate intransitive verb,"s/he is believable,  is believed Paired with:debwetaagwad","debwetaagwad, debwetaagozi"
debweyendam,class 2 animate intransitive verb,"s/he believes, agrees (in mind)","debweyenim, debweyendan"
debwetam,class 2 animate intransitive verb,"s/he believes, agrees (with what is heard)","debwetaw, debwetan, debwetaagozi, debwetaagwad, aagonwetaw, aagonwetan"
godotaagan,inanimate noun,a bell,madweshim
nimisad,dependent inanimate noun,"my belly, stomach",
dibendaagozi,animate intransitive verb,"s/he is controlled, is owneds/he belongs, is a member Paired with:dibendaagwad","dibendaagwad, dibendaagozi, aginde"
gijipizon,inanimate noun,a belt,
gijipizonaabik,inanimate noun,a belt buckle,
ogiishkimanisii,animate noun,a kingfisher See also:ogashkimanisii,"ogashkimanisii, ogashkimanisii, ogiishkimanisii, ogiishkimanisii"
Bemijigamaag,place name,"Bemidji, MinnesotaLake Bemidji, located in Northern Minnesota",
Gibaakwa'igaansing,place name,Bena,
desa'on,inanimate noun,"a platform, a bench, a bed in the wigwam",
washkitigweyaa,inanimate intransitive verb,it (a river) flows around a bend,
zhagashkitaa,animate intransitive verb,"s/he crouches down, ducks down, stoops",
waaginan,transitive inanimate verb,bend it (with hand) Paired with:waagin,"waagin, waaginan, inaaginan, inaagin, biskibizh, biskibidoon, biskinan, biskin"
zhagashkitaa,animate intransitive verb,"s/he crouches down, ducks down, stoops",
debi',transitive animate verb,"satisfy, benefit h/, give h/ something appropriate",
waagaa,inanimate intransitive verb,it is bent Paired with:waagizi,"waagizi, waagaa, waagaakwad, waagaabikizi, waagaabikad"
biskaa,inanimate intransitive verb,"it is bent over, folded",
mawinzwaan,inanimate noun,a picked berry,"mawinzwaazh, mawinzwaadan"
ataw,transitive animate verb,"put (it) in a certain place for h/gamble with, play cards with, bet with, wager with h/",
baapiniziwaagan,discourse particle,beware! (a warning based on a premonition),
awasayi'ii,locational adverb,beyond it; on the other side of it See also:awasaya'ii,awasaya'ii
gagiikwe-mazina'igan,inanimate noun,a bible,
ditibiwebishkigan,animate noun,a bicycle,
gichi-,lexical preverb,"very, quite; big; great See also:chi-","chi-, mindido, michaa, michaabikizi, michaabikad, michiigizi, michiigad, mamaangibagizi, mamaangibagaa, michaakwad, michaakozi, manginaagwad, manginaagozi, inigini, inigokwaa, inigokwegizi, inigokwegad, inigokwaakwad, inigokwaakozi, inigokwaabiigizi, inigokwaabiigad, mangitoon, mangi', mindido', michaatoon"
Chi-badaka'iganing,place name,"Big Fork, Minnesota",
okoozh,dependent inanimate noun,"its (a bird's) bill, beak",bagaki-ozaawikoozhe
dakobidoon,class 2 transitive inanimate verb,"tie, bind it Paired with:dakobizh","dakobizh, dakobidoon, dakobizo, dakobide, dakobijigaazo, dakobijigaade"
mikond,animate noun,a binding stick on a basket,
zhiibaayaabanjigan,inanimate noun,"a telescope, a gun scope, (pl.) binoculars",
wiigwaas,animate noun,a birch,"wiigwaasaatig, wiigwaas, wiigwaas, wiigwaasikaa, wiigwaas"
wiigwaas,inanimate noun,birch bark; piece of birch bark,
makak,inanimate noun,"a semi-rigid or rigid container: a basket (especially one of birch bark), a box",
makak,inanimate noun,"a semi-rigid or rigid container: a basket (especially one of birch bark), a box",
wiigwaasi-jiimaan,inanimate noun,a birch bark canoe,
wiigwaasabakway,inanimate noun,a birch bark covering; roll of birch bark roofing,
wiigwaasinaagan,inanimate noun,a birch bark dish,
wiigwaasigamig,inanimate noun,a birch bark lodge,
wiigwaasabakwaan,animate noun,a birch bark roof,
bineshiinh,animate noun,a bird,
bineshiinhwayaan,animate noun,a bird skin,
onashkid,dependent inanimate noun,its tail (of a bird),
zhiishiibanwi,inanimate noun,birdshot,
ondaadiziike,animate intransitive verb,s/he gives birth,
dibishkaa,animate intransitive verb,s/he has a birthday See also:dibishkam2,"dibishkam, dibishkaa"
mashkode-bizhiki,animate noun,a bison; a buffalo,bizhiki
mashkode-bizhikiwayaan,animate noun,a buffalo hide,
mashkode-bizhiki-wiiyaas,inanimate noun,buffalo meat,
zagidoonebijigan,inanimate noun,"a bridle, a bit",
dakwam,transitive animate verb,bite h/ or it (animate); hold it (animate) in the mouth Paired with:dakwandan,"dakwandan, dakwam, bakwendan, bakwem, bitandan, bitam, baashkandan, baashkam, maagwam, maagwandan, bookwam, bookwandan, giishkandan, giishkam, bakandan, bakam"
nawadam,transitive animate verb,take a bite of h/; take hold of h/ in mouth Paired with:nawadandan,"nawadandan, nawadam"
wiisagan,inanimate intransitive verb,it is bitter Paired with:wiisagizi,"wiisagizi, wiisagan, wiisagimaagwad, wiisagimaagozi, wiisagip, wiisagipogwad, wiisagipogozi"
mooshka'osi,animate noun,a bittern; a shypoke,makade-
makade-,lexical preverb,black; dark (color),"makadewizi, makadewaa, makadewaawangizi, makadewaabikizi, makadewegizi, makadewegad, makadewaakwad, makadewaakozi, makadewaabiigizi, makadewaabiigad, makadewanagekwad, makadewigwan, makade-miigwan, makadewaanzo, makadewaande, makadewinaagwad, makadewinaagozi, makadewitoon, makadewi'"
makadewiiyaas,animate noun,a Black person; a person of African descent,
baapaagimaak,animate noun,a black ash (tree),ookwemin
ookwemin,inanimate noun,black cherry,
ookweminagaawanzh,animate noun,a black cherry bush,ozhaawashkwaabi
ozhaawashkwaabi,animate intransitive verb,s/he has a black eye,
makadewindibe,animate intransitive verb,s/he has black hair,
zesegaandag,animate noun,a black spruce,zesegaandagwanagek
zesegaandagwanagek,animate noun,black spruce bark,
zesegaandago-bigiw,animate noun,black spruce pitch,
zesegaandagwadab,animate noun,a black spruce root,
makade-aniibiish,inanimate noun,black tea,
odatagaagomin,animate noun,a blackberry,
odatagaagominagaawanzh,animate noun,a blackberry bush,
asiginaak,animate noun,a blackbird,awashtoyaa
awashtoyaa,animate noun,a blacksmith,
awashtoyaawigamig,inanimate noun,a blacksmith shop,
waagaakwadwaabik,inanimate noun,an ax blade,"nindiniigan, indiniigan"
anaamim,transitive animate verb,"blame h/ (in speech), accuse h/",
waabooyaan,inanimate noun,a blanket See also:waabowayaan,"waabowayaan, waabooyaan"
baasaabikiz,transitive animate verb,crack it (animate; mineral) with fire or blasting Paired with:an,"baasaabikizan, baasaabikiz"
miskwiiwi,animate intransitive verb,"s/he bleeds, is bloody Paired with:miskwiiwan",miskwiiwan
zhawenim,transitive animate verb,"bless, pity h/; show loving-kindess, unconditional love for h/; have mercy, compassion for h/","zhawenim, zhawendaagwad, zhawendaagozi"
zhawenjigewin,inanimate noun,"a blessing, mercy, kindness",
akandoowin,inanimate noun,"a hunting stand or scaffold, a blind See also:akandoowaagan;mitigo-",akandoowaagan
gagiibiingwe,animate intransitive verb,s/he is blind,
,,,
,,,
abashkwebiigizi,animate intransitive verb,s/he has a blister or blisters,
baashkine-biiwan,inanimate intransitive verb,there is whirling snow or fog in the air (especially over the water or ice),
baasinigo,animate intransitive verb,s/he is bloated,
giba',transitive animate verb,"stop h/ up; plug, block h/ Paired with:an","giba'an, giba', gibaakwa'an, gibaakwa', gibishkaw, gibishkan"
ozaawindibe,animate intransitive verb,"s/he has blond hair, brown hair",
miskwi,inanimate noun,blood,"zhaaboskwagizi, zhaaboskwagad"
wadow,animate noun,a blood clot,
ozagaskwaajime,animate noun,"a leech, a bloodsucker Paired with:zagaskwaajime","zagaskwaajime, ozagaskwaajime"
miskwiiwan,inanimate intransitive verb,it is bloody Paired with:miskwiiwi,"miskwiiwi, miskwiiwan, miskwiiwegizi, miskwiiwegad, miskwiiwaakwad"
miskwiiwijaane,animate intransitive verb,s/he has a bloodied nose,
baashkaabigwanii,inanimate intransitive verb,"it blossoms, blooms",
baashkaabigwanii,inanimate intransitive verb,"it blossoms, blooms",
babaamaashi,animate intransitive verb,"s/he is blown about (by the wind); sails, soars about Paired with:babaamaasin","babaamaasin, babaamaashi, aazhawaashi, aazhawaasin, bimaasin, bimaashi, biigwaasin, biigwaashi, agwaayaasin, agwaayaashi, webaasin, webaashi, maadaasin, maadaashi, animaasin, animaashi, gizhiiyaasin, gizhiiyaashi, ondaasin, ondaashi, biidaasin, biidaashi, bagamaasin, bagamaashi, inaasin, biindigeyaasin, biindigeyaashi, bakobiiyaasin, bakobiiyaashi, gawaasin, gawaashi, inaasin, ombaasin, ombaashi"
boodaadan,transitive inanimate verb,blow on or at it Paired with:boodaazh,"boodaazh, boodaadan"
ziinikiigome,animate intransitive verb,s/he blows h/ (own) nose See also:ziiniskiigome,"ziiniskiigome, ziinikiigome"
baashkide,inanimate intransitive verb,"it explodes, blows up; it bursts from heat Paired with:baashkizo","baashkizo, baashkide"
baashkijiisijige,animate intransitive verb,s/he has a blowout,
ozhaawashko-,lexical preverb,"blue, green","ozhaawashkozi, ozhaawishkwaa, ozhaawashkwaa, ozhaawashkwaabikizi, ozhaawashkwaabikad, ozhaawashkwegizi, ozhaawishkwegad, ozhaawashkwegad, ozhaawishkwegizi, ozhaawashkwaakozi, ozhaawishkwaakwad, ozhaawashkwaakwad, ozhaawashkwaabiigizi, ozhaawishkwaabiigad, ozhaawashkwaabiigad, ozhaawashkonaagwad, ozhaawashkonaagozi, ozhaawashkwaanzo, ozhaawashkwaande, ozhaawashkwadisan, ozhaawashkwadis, ozhaawashkwadite, ozhaawashkwadiso, ozhaawashkonaagwad, ozhaawashkonaagozi"
zhashagi,animate noun,a blue heron,diindiisi
diindiisi,animate noun,a blue jay,miinan
miinan,inanimate noun,blueberries (plural),
miini-baashkiminasigani-biitoosijigani-bakwezhigan,animate noun,a blueberry pie,
miinagaawanzh,animate noun,a blueberry plant See also:miiganzhni,"miinaganzh, miinaganzh, miinagaawanzh"
miini-baashkiminasigan,inanimate noun,blueberry sauce,
ozhaawashko-bineshiinh,animate noun,a bluebird,biigizawinaagozi
biigizawinaagozi,animate intransitive verb,"s/he can't be seen well, is blurry Paired with:biigizawinaagwad","biigizawinaagwad, biigizawinaagozi, biigizawaabam, biigizawaabandan, biigizawinaw, biigizawinan"
miskwiingwese,animate intransitive verb,s/he blushes,
boozi,animate intransitive verb,"s/he gets in or on (a vehicle or a boat), boards, gets aboard, embarks",
nabagisag,animate noun,"a board, a plank",
jiimaan,inanimate noun,a boat; a canoe,"ginwaakoonagad, ginoonagad, dakoonagizi, agaasoonagizi, akoonagizi, biida'oozh, biida'oodoon, bimakii'ige, bimakii'o, bima'oozh, bima'oodoon, azhebowe-jiimaan, bima'oozh, bima'oodoon, ningodoonag, ingodoonag, ningodwaasoonag, ingodwaasoonag, nishwaasoonag, ishwaasoonag"
jiimaanikewinini,animate noun,"a canoe maker, a boat builder",
dasoonag,number,"so many boats or canoes, so many boatloads","ningodoonag, ingodoonag, ningodwaasoonag, ingodwaasoonag, nishwaasoonag"
,,,
gidagaa-bizhiw,animate noun,a bobcat,niiyaw
niiyaw,dependent inanimate noun,my body,biinjinaw
onde,inanimate intransitive verb,it boils Paired with:onzo,"onzo, onde, ziigaajiwanzo, ziigaajiwanz, ziigaajiwande, ziigigamizo, ziigigamide, gabaatoon, gabaashim, madwegamizo, madwegamide"
onzan,transitive inanimate verb,boil it Paired with:onzo,"onzo, onzan, onzigaade, onzigaazo"
ganawishkodawewinini,animate noun,a boiler tender or night watchman at a school or other public building,
nikan,dependent inanimate noun,my bone,dadewigane
mazina'igan,inanimate noun,"a book, a letter, a document, a paper",
asigibii'igewinini,animate noun,"an accountant, a bookkeeper",
biigiskaadendam,class 2 animate intransitive verb,"s/he is bored, is not interested, is listless, is depressed",
biigiskaadendan,transitive inanimate verb,"not be interested in it, find it boring Paired with:biigiskaadenim","biigiskaadenim, biigiskaadendan, biigiskaadendaagozi, biigiskaadendaagwad"
niigi,animate intransitive verb,s/he increases in number; s/he is born,
adaawam,transitive animate verb,"borrow (it) from, rent (it) from h/",
ogimaa,animate noun,"a leader (male): a boss, a chief, a kinga king (card)",
eyiizh,quantitative adverb,both,"eyiidawininj, eyedawininj, eyiidawi-, eyiidawayi'ii, eyiidawaya'ii"
babaamendan,transitive inanimate verb,"pay attention to, be preoccupied with, worry about, bother it Paired with:babaamenim","babaamenim, babaamendan"
omooday,inanimate noun,a bottle,
inaamikaa,inanimate intransitive verb,it is a certain kind of bottom,mizhakiise
giizhikaandag,animate noun,a cedar bough,
babiikwasin,animate noun,a boulder,
gwaashkwesin,inanimate intransitive verb,"it bounces, rebounds Paired with:gwaashkweshin","gwaashkweshin, gwaashkwesin"
gwaashkwesidoon,class 2 transitive inanimate verb,drop it and have it rebound; bounce it Paired with:gwaashkweshim,"gwaashkweshim, gwaashkwesidoon"
mitigwaab,animate noun,a bow See also:ni,"mitigwaab, mitigwaab"
zhigwameg,animate noun,"a bowfin, a dogfish",boozikinaagan
boozikinaagan,inanimate noun,a bowl,
wawaagigaade,animate intransitive verb,s/he is bow-legged,
gichi-nemaab,animate noun,a bowling ball,
achaab,inanimate noun,a bowstring,
makak,inanimate noun,"a semi-rigid or rigid container: a basket (especially one of birch bark), a box",
gagwedaganaam,transitive animate verb,box h/,
makakosagodaabaan,inanimate noun,a boxcar,
gagwedaganewinini,animate noun,a boxer,
gwiiwizens,animate noun,a boy,
biiminigan,inanimate noun,a brace and bit,
gikinjinikepizon,inanimate noun,an armband; a bracelet,
apikaadan,transitive inanimate verb,braid it Paired with:apikaazh,"apikaazh, okaadenan, okaaden, okaadenan"
okaadenigan,inanimate noun,a braid; a braided rug,
okaadenigan,inanimate noun,a braid; a braided rug,
niinindib,dependent inanimate noun,my brain,
nagaawebishkige,animate intransitive verb,s/he applies the brakes,
baketigweyaa,inanimate intransitive verb,"it (a river) goes off to the side, is a tributary",
wadikwan,inanimate noun,a branch,"wadikwaniwan, wadikwaniwi"
ozaawaabik,inanimate noun,"(a piece of) brass, (a piece of) copper","ozaawaabikizi, ozaawaabikad"
aasodoodooshimebizon,inanimate noun,a brassiere,
zoongide'e,animate intransitive verb,s/he is brave,
zoongide'ewin,inanimate noun,"bravery, courage",
bakwezhigan,animate noun,"bread, bannockflour","zaasakokwaan, zaasagokwaan"
bakwezhigani-makak,inanimate noun,a bread box; a flour box,
biigoshkaa,inanimate intransitive verb,"it breaks, is broken Paired with:","biigoshkaa, biigoshkaa, bakiboozo, bakiboode, bakise, biigozo, biigode, niigozo, niigode, niigosin, niigoshin"
