lemma,ojibwe_sentence,english_sentence
ishkweyaang,Gii-kwekibagizo awe nimishoome gii-pi-zhaagitang gegoo imaa ishkweyaang.,My uncle suddenly turned around when he heard something behind him.
ishkweyaang,Ishkweyaang ninamadab odaabaaning izhaayaang oodenaang.,I sit in the back when we go to town in the car.
neyaab,Neyaab igo ninakwetaag gii-ganoonag.,He answered me back right away when I called him.
azhebizo,Dibaabam odaabaanag jibwaa-azhebizoyan.,Check for cars before back out.
azhebizo,Azhebizon ji-bakwajibidegin anzaziin.,Back up so the weeds will come off (your propeller).
bimiwanaan,Agaawaa ogashkiwidoon i'iw obimiwanaan a'aw gwiiwizens.,The boy can barely carry his pack.
bimiwanaan,Indaga maajiidoon i'iw gibimiwanaan. Ingoji iwidi izhiwidoon.,Take your backpack away. Take it someplace else.
maanendan,Omaanendaan i'iw odaakewin gaa-piindigajigaadenig.,He didn't like the regulation that was introduced.
maanendan,Nimaanendaan waakaa'igan. Onzaam agaasate. Gaawiin niwii'-adaawesiin.,I don't like the house because it's too small. I'm not going to buy it.
maji-mashkiki,Gego indawaaj andomaaken awe. Maji-mashkiki 'a eta go ogikendaan.,Don't call on him. He only knows bad medicine.
debinaak,Debinaak igo izhitoon.,Just make it any old way.
debinaak,Debinaak go indizhichige.,I do it any old way.
debinaak,Debinaak igo gii-izhi-asigisijigaademagad. Indaga shko miinosidoon.,They assembled it just any old way. Can you please straighten it out?
debinaak,Debinaak igo ningii-chiishada'ige.,I just swept up any old way.
debinaak,Debinaak odizhitoon gaa-ozhitood wiigwaasinaagan.,She's  making that birch bark basket in a rough way.
debinaak,Debinaak igo Anangookwe izhichige.,Anangookwe does things any old way.
mashkimod,Ningii-kashkapinaa a'aw nindasemaa imaa nimashkimodaang.,I tied up my tobacco in my bag.
mashkimod,Ogii-aaboojisidoon 'iw mashkimod gii-paasang.,He put that bag inside out to dry it.
mashkimod,Naawoonag atoon gimashkimod.,Put your bag right in the middle of the canoe.
mashkimod,Ogii-taadozhaan 'i mashkimod gaa-aapida'oodenig wii-paakinang.,He cut open the sack that was tied into in knots in order to open it.
mashkimod,Indaga biina'waadaanig ogoweg opiniig imaa gimashkimodaang.,"Come on, let's put these potatoes in your sack."
diba,Gii-adaawange zhooniyaan gaa-onji-de-diba'waad iniw zagapijiganan.,He borrowed enough money to pay for the trailer.
migizi,Migizi gii-pimaashi.,An eagle soared by.
migizi,Gichi-mindido a'awe migizi o'omaa ge-gizhibaayaashid.,That bald eagle who is soaring around in the air is huge.
migizi,Ishpimiing niizh gizhibaayaashiwag migiziwag.,There's two eagles circling up in the sky.
migizi,Bibigwe migizi.,A bald eagle makes fluting sounds.
bikwaakwad,Gii-tabazi awe bagite'igewinini gechi-ishpiwebinamawind iwe bikwaakwad.,The batter ducked when they gave him a high pitch.
bikwaakwad,Megwekob iwidi gii-izhi-gwaashkwesin 'iw bikwaakwad.,The ball bounced into the brush.
zhooniyaawigamig,Andawaabam gizhooniyaa jibwaa-giba'igaadeg zhooniyaawigamig.,Go get your money before the bank closes.
zhooniyaawigamig,Mii go wenda-bwaanawitooyaan wii-asanjigoyaan imaa zhooniyaawigamigong.,I can't seem to put money away in the bank.
zhooniyaawigamig,Ogii-izhiwidoon i'iw zhooniyaa-mazina'igan iwidi zhooniyaawigamigong.,She took the check to the bank.
bakwezhigan,Bijiinag gigizheb inga-ozhi'aa a'aw bakwezhigan.,I'll make the bread in the morning.
bakwezhigan,Doodooshaaboo-bimide nizhizhoo'aan imaa nibakwezhiganiming.,I spread butter on my bread.
agaawaa,Agaawaa nin gii-kashkinaa ningozis gii-piibiiyensiwid.,I could barely lift my son when he was a little baby.
agaawaa,Agaawaa ate ziinzibaakwad.,There is only a little bit of sugar.
agaawaa,Agaawaa go gii-tebise zaasagokwaan.,There was barely enough frybread.
agaawaa,Agaawaa ogashkiwidoon i'iw obimiwanaan a'aw gwiiwizens.,The boy can barely carry his pack.
agaawaa,Agaawaa gii-te-mizhagaa; gegaa gii-kibozigwaji.,He barely made it to shore before he got frozen in (with the canoe).
migi,Anaami-adoopowin ayaa a'aw animosh migid.,The dog is under the table barking.
migi,Biindig dazhi-migi awe ninday.,My dog is barking inside the house.
migi,Madwe-migi.,You can hear that dog barking at a distance.
makakosag,Ate biindoonag i'iw makakosag.,The carton is in the boat.
makakosag,Wiinad imaa biinji-makakosagong.,It's dirty inside the box.
anaamisag,Anaamisag indazhi-giziibiiga'ige ko giziibiiga'igeyaan.,I do the laundry in the basement when I do it.
anaamisag,Anaamisag dazhewag waawaabiganoojiinyag.,Mice nest under the floor.
gichi-onaagan,Oziiginaan imaa gichi-onaaganing. Mii imaa gaa-tazhi-nase'ang i'iwe gii-ozhitood ziinzibaakwad.,She pours it (maple syrup]) into a big dish. That's where she granulated it to make sugar.
gichi-onaagan,Niwii-kiziibiigizide jibwaa-agonjidooyaan inzidan imaa gichi-onaaganing.,I'm going to wash my feet before I soak them in the basin.
makak,Boozitoon iniw makakoon imaa odaabaaning.,Load those boxes into the car.
makak,Odoozhishimaan ini asabiin imaa makakong.,He's packing the nets in a box.
makak,Zhiibaa-adoopowinaak atoon makakosh.,Put that old box under the table.
wiigob,Bishagaakobidoon wiigob,Peel the bark off the basswood.
wiigob,Wiigob gigashkigwaajigaagen biskitenaaganikeyan.,You sew with basswood bark to make birch bark baskets.
wiigob,Mii go maa bezhigwan gaa-ondinaman wiigob mii imaa ge-onji-mikawad miskwaabiimagoons.,You can find red willow in the same place that you get basswood bark from.
bagitejii-igewinini,Ogii-miikwa'aan 'i bikwaakwad awe bagitejii'igewinini.,The batter hit the ball.
bagitejii-igewinini,Igiw bagitejii'igewininiwag ogii-aabiinji'aawaan iniw gaa-pi-mawine'ogowaad gii-pi-ataagowaad.,The baseball team overwhelmed the challengers who came to play with them.
aawan,Ziinjisin iw anwi imaa baashkiziganing. Gaawiin ganabaj aawanzinoon imaa ge-dibendaagwakiban.,That shell goes in the gun but its tight.  I don't believe it's the one that belongs there.
manidoominens,Waasizowag igiw manidoominensag.,The beads are shiny.
mazinigwaaso,Mazinigwaasowag igi ikwewag.,The women are doing embroidery.
makoons,Babiiwizhiinyiwag igiw makoonsag gaa-waabamagwaa.,The bear cubs I saw were tiny.
gigishkan,Ogigishkaan nibabiinzikawaagan aana-wii-piizikamaan.,I want to wear my jacket but he's got it on.
gigishkan,Eyiidawinik ogigishkaanan gashkijinikebizonan.,He's wearing bands on each arm.
mako-bimide,Mako-bimide odapaabowen gaa-jiibaakwed.,She puts bear grease in her soup.
mako-bimide,"Giishpin andawendaman mako-bimide, niiyo-diba'igan gaa-akwegak bagiwaaniigin miinishin.","If you want some bear grease, give me four yards of material for it."
niiwezh,Gii-maazhendam gii-niiwenind.,He felt bad when he lost the game.
niiwezh,Gii-minjinawezi gii-niiwenimind ini zhooshkwaada'enid aana-gii-ataagewaad.,He regretted that his team lost at the hockey game.
amik,Nashke awedi amik biidaatiga'o.,"Look, that beaver over there leaves a wake as he comes."
amik,Nitaa-giba'ige aw amik.,The beaver is good at making dams.
amik,Bimikwazhiwe amik.,A beaver is swimming by.
amik,Agwaataawag amikwag gii-bagozigoshkigewaad andawaabandamowaad waa'-miijiwaad oshki-mitigoonsan.,The beaver come out of the water when they make holes in ice looking for fresh saplings to eat.
amik,Odagwaabiiginaan amikwan gaa-gii-paashkizwaad.,He is puling the beaver he shot out of the water.
amikwayaan,Ogii-aaboojishimaan iniw amikwayaanan.,He set the beaver hide inside out.
amikwayaan,Aasamaateshim gidamikwayaan ji-baasod.,Put your beaver board so the sun will dry it.
amikwiish,Agaasinaagwad amikwiish. Gaawiin ganabaj ayaasiiwag imaa amikwag.,The beaver house looks small. I don't think there any any beaver there.
amikwiish,Bezhig amik gidaa-gagwe-ishkonanaa endasingin amikwiishan miinawaa ji-ondaadiziwaad.,You should try to leave one beaver in every beaver house so more will come.
onji,Jiigibiig onji-maadasaa.,He's setting his net out from the shore.
onji,Gaawiin minwamanji'osii gaa-onji-nanaandomod.,He didn't feel good; that's why he went for treatment.
onji,Aaniin dash wenji-mawiyan.,Why are you crying?
onji,"Gii-kawanaandamo'aawag igiw animoshag wenji-waabamaasiwadwaa,",They starved out the dogs - that's why you don't see them.
apishimon,Indaga biindigadoon apishimonan.,Bring in the mattresses.
apishimon,Nindatoon iwe apishimon imaa n... michisag wii-nibaayaan.,I'm putting the mattress on the floor to sleep on.
apishimon,Maamaagojiishkan boodaajii'igan wii-poodaajii'aman gidapishimon.,Use the foot pump to inflate your air mattress.
nibewigamig,Bezhigwan nibewigamig.,There is one bedroom.
nibewigamig,Mii imaa badakideg i'iw nibewigamig naawi-oodenaang.,"That's where they put up the hotel, in the middle of town."
aamoo,Gii'-ombwebizowag aamoog.,The bees swarmed in all directions.
neyaab,Neyaab igo ninakwetaag gii-ganoonag.,He answered me back right away when I called him.
jibwaa,Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,"Before we take that hay out of here, you'd better tie it down good."
jibwaa,Akawe gidaa-giigid jibwaa-gagwedweyan.,You should phone first before you ask.
jibwaa,Bekaa niwii-ozhibii'ige jibwaa-maajaaying.,"Wait, I'm going to finish writing before we leave."
noonde,Gichi-noonde-nibaayaan gaa-izhi-gawishimoyaan wii-nibaayaan.,I was so sleepy I lay down to go to sleep.
noonde,Indaga imaa ani-noogishkaan. Ninoonde-zaaga'am.,Could you stop there? I need to go to the bathroom.
noonde,Naawakwe biina'ashkimode. Ogii'-noonde-mooshkinatoon ojiimaan.,She's sacking her rice at noon because she filled her canoe already.
noonde,Ningii'-noonde-giishkaajim minik waa'-inaajimoyaambaan gii-bi-biindiged nindoogimaan.,I had to cut my story off when my boss came in.
giizhaa,Giizhaa gii-ozhiitaa wii-izhaad oodenaang.,He got ready to go to town.
giizhaa,Giizhaa ningii-kiizhizaan waa'-miijiyaan dagoshinaan onaagoshig.,I already made my meal for when I get home this evening.
giizhaa,Giizhaa gidaa-ozhiitaamin. Giga-mawadisaanaan awe bezhig ikwe.,Go get ready and we'll visit that certain lady.
giizhaa,Giizhaa ogakiiwenigaadaan ojiimaan jibwaa-naawakwenig.,S/he already carried h/ canoe over the portage before noon.
andodamaw,Ogii-maajinizha'amowaan 'iw gaa-andodamaagod babiinzikawaagan.,She sent the jacket to him that he'd asked her for.
maajii,Indaga biindigadoon ini gigiziibiiga'igewinan. Mii zhigwa maajii-awanibiisaag.,Take in your laundry. It's starting to mist now.
maajii,Aaniin dash apii waa'-maajii-gitigeyan.,When are you going to start putting your garden in?
maajii,Ozhitoon gibashkweginwekizinan jibwaa-maajii-niimi'iding.,Make your moccasins before the powwow season starts.
wayeshkad,Mii iwe wayeshkad gaa-izhichigewaad mewinzha gii-... gii-onakidoowaad waaginogaan.,Long ago this is what they did first when they erected the bark hut.
nashke,Nashke gosha naa ezhichiged a'aw ikwezens.,Look at what that girl is doing.
nashke,Nashke awedi amik biidaatiga'o.,"Look, that beaver over there leaves a wake as he comes."
godotaagan,Mii 'iw zhaangaso-diba'iganeg ji-madwesidood 'iw godotaagan.,At nine o'clock he's going to ring the bell.
nimisad,Niwiisagendam nimisad.,My stomach hurts.
dibendaagozi,Mii imaa dibendaagoziyaan dewe'iganing niniigaani-niimi'iwewininiw.,"I belong on that drum, I am the head-singer."
waaginan,Akawe waaginan mitigoon wii'-ozhitooyan waaginogaan.,Bend the sticks of the frame before making the waaginogaan.
debi,Gidebi' gii-pi-waabamiyan.,You're so kind to have come to see me.
mawinzwaan,Agwanaatesidoon gimawinzwaanan jibwaa-baashkijiidegin.,Put your blueberries in the shade before they burst open from the sun.
gichi,Gichi-bagakaasige awe dibiki-giizis aana-aabitawaabikizid.,The moon is really bright even though it's a half-moon.
gichi,Agaamakiing iwidi dazhi-gichi-miigaadim.,There's a war across the ocean.
gichi,Gichi-wawiingezi gikinootawaad ini migiziin awe ogichidaa.,That warrior did a great job of imitating the sound of the bald eagle.
gichi,Naniizaanendam ji-ipizonikepan imaa gichi-oodenaang.,He thinks it's dangerous to drive into the city.
gichi,Andawaabandan i'iw gichi-gwaaba'igan.,Look for the Big Dipper.
gichi,Gichi-waasa bimi-debinaagod iwe jiimaan bemi-ayaamagak.,That boat that's going by is a long ways out.
gichi,Gichi-mewinzha gii-izhaayaambaan oodenaang.,It's been a long time since I've gone to town.
gichi,Gichi-weweni ingii-piini'aa indoopwaagan.,I cleaned my pipe real good.
makak,Boozitoon iniw makakoon imaa odaabaaning.,Load those boxes into the car.
makak,Odoozhishimaan ini asabiin imaa makakong.,He's packing the nets in a box.
makak,Zhiibaa-adoopowinaak atoon makakosh.,Put that old box under the table.
makak,Boozitoon iniw makakoon imaa odaabaaning.,Load those boxes into the car.
makak,Odoozhishimaan ini asabiin imaa makakong.,He's packing the nets in a box.
makak,Zhiibaa-adoopowinaak atoon makakosh.,Put that old box under the table.
wiigwaasinaagan,Debinaak odizhitoon gaa-ozhitood wiigwaasinaagan.,She's  making that birch bark basket in a rough way.
bineshiinh,Awenen dinowa bineshiinh gaa-noondaagozid?,What kind of bird is calling?
bineshiinh,Awenen dinowa bineshiinh?,What kind of bird is it?
bineshiinh,Bineshiinyag niizhoogooziwag.,There are two birds perching.
bineshiinh,Agidagamig gii-poonii a'aw bineshiinh.,The bird flew onto the top of the house.
bineshiinh,Akwaandawaadan bineshiinh-wazisonens wii'-waabamadwaa bineshiinyensag.,Climb up to the bird's nest to see the baby birds.
zhiishiibanwi,Onzaam babiiwaawan ini zhiishiibanwiinsan.,That shot is too small.
dibishkaa,Ingii-amwaa wiishkobi-bakwezhigan gii-tibishkaayaan.,I ate cake when I had my birthday.
dibishkaa,Gegaa go ngii-wanendaan apii gaa-tabishk... gaa-tibishkaayaan.,I almost forgot my birthday.
dakwam,Nindakwamig nishiime ezhi-wiisagamid.,My little brother bit me and it hurts.
dakwam,Gaawiin gidaa-dakwamigosii awe manidoosh.,That bug won't bite you.
mooshka-osi,Oshpiming inaabi mooshka'osi goshko'ind.,A bittern looks up in the sky if startled.
asiginaak,Okwagooziwag asiginaakwag gichi-mitigong gii-ani-onaagoshig.,The blackbirds perch in a flock on a big tree towards evening.
anaamim,Ingii-anaamimigoo nabagaabikak i'iw odaabaanish.,They blame me for that dent on that old car.
anaamim,Niin ina gidanaamim. Gaawiin gosha niin 'omaa ningii'-ayaasii dibikong.,Are you blaming me? I wasn't even here last night.
waabooyaan,Mii ko o'ow waabooyaan naa asemaan asaad da-bagijiged awiya.,When someone makes an offering it's usually a blanket and tobacco.
miskwiiwi,Nigaachidinawaa waawaashkeshi. Miskwiiwi. Iwidi inagakeyaa ani-mamiskwiiwisinoon ini aniibiishan.,I wounded a deer. It's bloody.  The leaves get bloodier off in that direction. [The deer leaves a bloody trail on the leaves off in that direction.]
gagiibiingwe,Gii-kagiibiingwe awe nimishoomis booch idash igo gii-naaniimid.,"Even though my grandfather was blind, he still danced."
miskwi,Gii-o-miigiwe omiskwiim awe ingos iwidi aakoziiwigamigong.,My son went to the hospital to donate his blood.
miskwi,Aaniin epiitaagamishkaag gimiskwiim.,How high is your blood pressure?
miskwi,Onzaam ishpaagamishkaa nimiskwiim.,My blood pressure is too high.
miskwi,Onzaam dabasaagamishkaa nimiskwiim.,My blood pressure is too low.
wadow,Mii iniw gaa-nisigod wadowan.,The bloodclot killed him.
babaamaashi,Ingii-pawaadaan babaamaashiyaan giizhigong.,I dreamed I was soaring around in the sky.
diindiisi,Minonaagozi ozhaawashkozid diindiisi.,The blue jay looks good in its blue color.
diindiisi,"Giishpin noondawad diindiisi noondaagozid gii-biboong, dibaajimo noomag wii'-aabawaanig.","If your hear a blue jay calling in the winter, he's telling you that it warm up for a few days."
diindiisi,Diindiisi gii-kibishkoozo niwaabizheshiwanii'iganing.,A bluejay blocked my marten trap.
miinan,Ningii-wiijiiwaanaan nimaamaayinaan gii-mawinzoyaang. Niin dash ningii-ni-gagiiginaanan iniw miinan memaangiminagakin.,We went with our mother blueberry picking and I picked the biggest ones.
boozi,Indaashaayok. Boozig omaa.,"All of you, come here and get in."
boozi,Niwii-pooz imaa biinjidaabaan.,I'll get in the car.
boozi,Ogii-kiboobidoon iw ogashkibidaagan jibwaa-boozid imaa ishkodewidaabaaning.,He zipped up his bag before he boarded the train.
boozi,Nitam nimbooz imaa jiimaaning awi-bagida'waayaang.,I get in the front of the canoe when we set net.
nabagisag,Gii-wakewizi 'a nabagisag aana-gii-sagaakwa'wag.,The board that I nailed on was weak.
nabagisag,Atoon imaa nabagisagong.,Put it on the board.
jiimaan,Aazhawew gii-izhi-agwaabide 'iw jiimaanens.,The boat landed on the lake on the other side [of the forest].
jiimaan,Nitam nimbooz imaa jiimaaning awi-bagida'waayaang.,I get in the front of the canoe when we set net.
jiimaan,Biidaaboode jiimaan.,The canoe is floating this way.
jiimaan,Indaga awi-ikobidooyok iwe jiimaanish.,Why don't you go pull up that old boat?
